"Accidentes de tránsito, hechos, víctimas y lesionados y hechos por zona de ocurrencia.               Localidad de Río Grande. Años 2009-2023",,,,,,,,,,
Año,Mes,Total,Hechos simples,mortal/Hechos,Mortal/Victimas,Hechos c/lesiones,cant.Lesionados,zona Urbana,Zona Rural,Total Alcohol Positivo
2014,sep,164,149,2,2,13,37,160,4,19
2014,oct,164,138,1,1,25,28,164,0,13
2014,dic,146,131,0,0,15,17,143,3,16
2015,Total,"1,861",1596,2,3,263,410,1815,46,152
2015,ene,93,81,1,1,11,33,89,4,17
2015,feb,147,126,0,0,21,41,145,2,10
2015,mar,153,125,0,0,145,8,145,8,19
2015,abr,172,144,1,1,27,41,167,5,12
2015,may,199,171,0,0,28,34,196,3,9
2015,jun,189,167,0,0,22,23,182,7,20
2015,jul,198,180,0,0,18,26,194,4,8
2015,ago,170,152,0,0,18,25,169,1,16
2015,sep,134,116,0,0,18,24,132,2,14
2015,oct,145,117,0,0,28,39,143,2,11
2015,nov,135,120,0,1,15,27,132,3,7
2015,dic,126,97,0,0,29,60,121,5,9
2016,Total,"1,514",1246,9,7,259,388,1493,21,219
2016,ene,90,78,1,1,11,19,90,0,20
2016,feb,115,97,0,0,18,21,113,2,17
2016,mar,134,107,1,1,26,29,132,2,15
2016,abr,127,108,1,1,18,24,125,2,9
2016,may,160,121,0,0,39,90,159,1,7
2016,jun,172,142,0,0,30,41,168,4,14
2016,jul,151,137,0,0,14,24,150,1,20
2016,ago,136,119,1,1,16,20,134,2,30
2016,sep,115,84,1,1,30,32,111,4,33
2016,oct,105,85,3,1,17,30,104,1,21
2016,nov,101,85,1,1,15,23,100,1,19
2016,dic,108,83,0,0,25,35,107,1,14
2017,Total,"1,071",753,4,4,314,528,1046,25,192
2017,ene,57,42,2,2,13,21,54,3,21
2017,feb,73,46,1,1,26,47,71,2,16
2017,mar,103,65,0,0,38,50,103,0,15
2017,abr,100,72,0,0,28,37,98,2,4
2017,may,80,52,0,0,28,38,79,1,26
2017,jun,104,81,0,0,23,48,102,2,18
2017,jul,98,71,0,0,27,42,96,2,10
2017,ago,63,41,0,0,22,39,63,0,9
2017,sep,93,63,0,0,30,44,91,2,17
2017,oct,93,70,0,0,23,46,89,4,14
2017,nov,105,74,0,0,31,53,104,1,23
2017,dic,102,76,1,1,25,63,96,6,19
2018,Total,"1,044",724,4,4,316,419,1015,29,291
2018,ene,80,61,1,1,18,27,76,4,27
2018,feb,67,43,2,2,22,22,64,3,29
2018,mar,96,48,0,0,48,48,93,3,21
2018,abr,109,80,1,1,28,49,105,4,18
2018,may,82,58,0,0,24,42,81,1,13
2018,jun,116,93,0,0,23,38,112,4,14
2018,jul,97,73,0,0,24,47,96,1,8
2018,ago,91,71,0,0,20,31,89,2,39
2018,sep,58,32,0,0,26,35,58,0,37
2018,oct,93,66,0,0,27,19,90,3,31
2018,nov,85,56,0,0,29,30,84,1,29
2018,dic,70,43,0,0,27,31,67,3,25
2019,Total,741,469,6,6,266,431,718,23,434
2019,ene,51,33,0,0,18,38,49,2,31
2019,feb,53,35,0,0,18,32,51,2,25
2019,mar,68,36,0,0,32,40,67,1,23
2019,abr,82,45,2,2,35,34,79,3,37
2019,may,73,45,2,2,26,81,71,2,41
2019,jun,83,61,0,0,22,57,78,5,46
2019,jul,61,40,1,1,20,29,59,2,52
2019,ago,56,38,0,0,18,19,56,0,57
2019,sep,67,40,1,1,26,33,65,2,23
2019,oct,46,35,0,0,11,17,45,1,33
2019,nov,52,30,0,0,22,22,52,0,19
2019,dic,49,31,0,0,18,29,46,3,47
2020,Total,421,262,1,1,158,214,402,19,0
2020,ene,44,13,0,0,31,35,43,1,0
2020,feb,49,18,0,0,31,34,43,6,0
2020,mar,46,32,0,0,14,24,45,1,0
2020,abr,9,6,0,0,3,11,9,0,0
2020,may,34,22,0,0,12,13,34,0,0
2020,jun,41,28,0,0,13,22,39,2,0
2020,jul,49,37,0,0,12,17,46,3,0
2020,ago,14,9,0,0,5,7,14,0,0
2020,sep,11,7,0,0,4,5,11,0,0
2020,oct,38,24,0,0,14,20,37,1,0
2020,nov,37,33,0,0,4,6,36,1,0
2020,dic,49,33,1,1,16,20,45,4,0
2021,Total,632,436,2,2,194,302,608,24,280
2021,ene,47,30,0,0,17,26,44,3,14
2021,feb,50,32,0,0,18,34,47,3,12
2021,mar,70,52,0,0,18,23,68,2,19
2021,abr,54,40,0,0,14,15,54,0,33
2021,may,47,37,0,0,10,10,47,0,21
2021,jun,58,48,0,0,10,16,57,1,41
2021,jul,58,43,0,0,15,20,54,4,28
2021,ago,62,43,1,1,18,33,59,3,19
2021,sep,46,21,0,0,25,30,45,1,11
2021,oct,48,38,1,1,9,31,44,4,24
2021,nov,43,24,0,0,19,31,41,2,19
2021,dic,49,28,0,0,21,33,48,1,39
2022,Total,603,388,4,4,211,267,577,23,535
2022,ene,26,12,2,1,12,13,23,23,3
2022,feb,47,33,0,0,14,27,47,47,0
2022,mar,55,35,0,0,20,20,55,55,0
2022,abr,53,32,1,1,20,20,51,51,2
2022,may,76,45,1,2,30,40,73,3,64
2022,jun,54,39,0,0,15,18,53,1,34
2022,jul,69,48,0,0,21,22,65,1,70
2022,ago,45,28,0,0,17,26,42,3,58
2022,sep,38,28,0,0,10,11,34,4,47
2022,oct,49,30,0,0,19,23,46,3,45
2022,nov,44,25,0,0,19,25,42,2,33
2022,dic,47,33,0,0,14,22,46,1,34
2023,Total,497,0,0,0,0,0,0,0,391
2023,ene,27,,,,,,,,47
2023,feb,24,,,,,,,,44
2023,mar,38,,,,,,,,31
2023,abr,57,,,,,,,,15
2023,may,61,,,,,,,,27
2023,jun,41,,,,,,,,35
2023,jul,47,,,,,,,,38
2023,ago,54,,,,,,,,30
2023,sep,42,,,,,,,,40
2023,oct,36,,,,,,,,30
2023,nov,38,,,,,,,,32
2023,dic,32,,,,,,,,22
,,,,,,,,,,
Fuente: Direccion de transito Municipio de Rio Grande .-,,,,,,,,,,
Obervaciones: en el año 2020 no se tomaron registros de Test de alcholemia debido a la emergencia sanitaria (covid),,,,,,,,,,
En el año 2023 solo se registaron  los totales de echos ocurridos y de controles de alcoholemia.-,,,,,,,,,,
